Date,AvgTemp,MinTemp,MaxTemp,Prec,MaxInsWind,MaxWind,AvgWind,AvgDewPoint,MinHum,AvgHum,SunTime,AvgGroundTemp,AvgGrassTemp
2012-06-03,20.8,14.2,28.9,0,6.3,250,4.8,14.2,34,69.5,10.5,31.4,9.5
2012-06-04,21.3,17,24.7,0,5.8,140,4.2,14.7,56,66.5,0.5,25.5,12.8
2012-06-05,23.1,19.5,28.1,0,6.3,250,4.9,17.1,48,71.1,7,32.2,16.3
2012-06-06,22.6,18.8,26.7,0,7.4,50,3.8,17.7,54,75.6,2.4,31.5,14.8
2012-06-07,23.1,19.6,29.3,0,5.4,250,4.3,17.4,48,72,6.8,35.2,17.6
2012-06-08,20.4,19.2,22.9,1,5.9,140,4.3,18.5,72,89.6,0,23.2,18.9
2012-06-09,21.9,18.6,26.6,0,5.7,160,4.3,18.2,58,80.8,1.8,27.8,18.2
2012-06-10,22.2,17.9,27.2,0,6.5,140,4.8,16.4,52,71.4,12.2,32.3,13.5
2012-06-11,20.8,17.4,26.5,0,5.4,160,4.3,16.5,53,78,1.9,29.1,14.1
2012-06-12,22.6,17.6,28.4,0,6.1,270,4.9,17.8,49,76.4,6.5,32,13.9
2012-06-13,22.8,19.9,27,0,7.5,140,6.1,17.1,54,71.6,11.8,33.3,15.5
2012-06-14,21.9,19.3,25.4,0,8.9,140,6.6,16.5,58,72.1,11.6,30.9,15.8
2012-06-15,20.8,18.1,22.3,1,9.1,110,6.6,17.6,73,82.1,0,22.4,14.9
2012-06-16,21.7,15.9,28.7,0,6.2,270,4.5,17.1,42,77.9,5.8,26.8,12.7
2012-06-17,22,17.1,29.1,0,5.7,250,4.6,17.4,48,77.8,5.6,29.4,13.2
2012-06-18,20.1,18.7,21.8,8,5.5,90,4.3,18.6,77,91.4,0,22.1,16.8
2012-06-19,23.5,19.7,29.2,2.5,6.8,340,4.7,18.9,48,77.8,7,29.2,19.6
2012-06-20,22.9,19,27,0,5.7,140,4.4,18.8,60,79.4,3.3,28.9,16.8
2012-06-21,23.4,19.7,30.1,0,5.6,230,4.3,18.3,46,74.8,7.3,28.9,17.6
2012-06-22,23,19.3,30,0,5.9,250,4.8,19.1,47,80.4,6.6,29.9,17.2
2012-06-23,22.8,18.9,28.1,0,6.4,140,5,18.1,49,76.4,5.6,27.7,16.2
2012-06-24,21.9,20.2,24,4.5,5.9,110,4.5,18.5,66,82,0.1,22.5,18.6
2012-06-25,23.7,19.7,28.8,0,7.3,110,5.6,16.3,43,65.4,11.1,31.6,17.5
2012-06-26,22.3,19.7,25.9,0,9.3,90,6.8,15.6,54,66.6,1.9,26.7,16.4
2012-06-27,22.6,21,26.8,0,8.1,90,6.4,17,59,71.1,1.6,26.5,17.1
2012-06-28,23.2,18.6,29.3,0,6.9,90,4.5,17.6,49,72.6,8.1,30.5,15.9
2012-06-29,21.7,19.9,23.5,14,6.9,110,5.2,19.7,74,89,0.2,24.6,16.5
2012-06-30,24.2,21.8,26.4,23.5,11,230,6.6,23.3,89,95.3,0,25.1,21.6
2012-07-01,22,21,24.7,1.5,5.9,320,2.8,20.7,76,93,0.1,24.7,20.8
2012-07-02,23.2,20.2,27.4,1.5,5.6,250,4,20.9,65,87.4,0.4,27.8,19.7
2012-07-03,22.8,20,28,0,6.9,250,5,21.1,71,90.6,1.1,25.3,19.3
2012-07-04,23.6,21.7,25.6,0.4,5.2,200,3.9,21.9,81,91,0,25.4,22.3
2012-07-05,25.6,23.3,28.5,11,8.3,230,5.7,24.2,82,92.4,0,27.1,23.1
2012-07-06,24.2,22.7,26.3,19.5,12.2,250,7.1,23.1,88,93.8,0,25.4,22.3
2012-07-07,23.8,21,29,0,6.1,320,4.4,19.9,54,79.6,5.7,30.5,19.7
2012-07-08,23.6,19.3,29.1,0,5.1,250,4.1,19.3,56,78.4,11.1,31.3,18.3
2012-07-09,24,18.6,29.7,0,5.4,140,3.7,19.7,47,79.1,5.7,29.1,0
2012-07-10,23.2,21.4,24.9,30,7.8,110,6.3,21.1,75,88.4,0,24.9,20.4
2012-07-11,24.3,22.7,25.7,30.5,11,230,6.7,23.7,93,96.6,0,25.5,23.3
2012-07-12,25.7,21.5,30.4,0,5.7,230,4.3,23.8,71,89.9,2.9,28.9,20.5
2012-07-13,25.5,23.4,30.2,10,8.1,320,5,24.1,77,92.4,0.5,29.5,24.3
2012-07-14,24.4,23.4,25.9,36.5,9.8,230,5.3,23.6,91,95.9,0,26,23.4
2012-07-15,24.8,22.6,27.6,6.5,9.2,250,5.9,23.2,79,91.3,0.1,26,22.8
2012-07-16,24.5,21.4,28.2,0,4.5,140,3.2,21.4,65,83.6,0.4,27.9,21.1
2012-07-17,24.5,22.8,27.3,25.5,6.4,90,4.6,23.1,83,92.5,0.6,25.8,23
2012-07-18,26,24.3,27.7,61.5,17.7,110,12.1,23.8,81,87.9,0.3,26.7,23.8
