PUM_NM,WHSAL_NM,SALEDATE,SAN_NM,KIND_NM,TOT_AMT,TOT_QTY,QTY
가랏,광주각화도매,20220301,전남 장흥군,가랏,140000.0,80.0,20.0
가랏,광주서부도매,20220301,광주 광산구,가랏,105500.0,44.0,11.0
가랏,광주서부도매,20220301,전남 나주시,가랏,57600.0,24.0,6.0
가리비,대전오정도매,20220301,부산 강서구,가리비,82500.0,13.75,1.375
가리비,대전오정도매,20220301,일본,가리비(수입),80500.0,8.75,1.0
가리비,안산도매시장,20220301,인천광역시,가리비,100000.0,10.0,10.0
가리비,안양도매시장,20220301,경상남도 통영시,가리비,59000.0,10.0,10.0
가리비,안양도매시장,20220301,전라남도 완도군,가리비,142000.0,16.0,16.0
가리비,청주도매시장,20220301,전라남도 여수시,가리비,67500.0,10.0,10.0
가무락,안양도매시장,20220301,중국,가무락,330000.0,90.0,4.5
가오리,대전오정도매,20220301,부산 강서구,노랑가오리,37500.0,9.0,1.5
가오리,안산도매시장,20220301,인천광역시,기타,130000.0,20.0,2.0
가오리,안양도매시장,20220301,전라남도 보성군,기타,60000.0,15.0,3.0
가오리,안양도매시장,20220301,전라남도 완도군,기타,20000.0,2.0,2.0
가오리,안양도매시장,20220301,제주도 제주시,기타,25000.0,2.5,2.5
가자미,대전오정도매,20220301,러시아 연방,가자미(수입),1428000.0,382.5,85.0
가자미,대전오정도매,20220301,부산 강서구,도다리,80000.0,6.0,2.0
가자미,대전오정도매,20220301,부산 강서구,참가자미,45000.0,3.0,1.0
가자미,안산도매시장,20220301,부산광역시,기타,1589386.0,459.0,102.0
가자미,안산도매시장,20220301,인천광역시,강도다리,176725.0,11.35,11.35
가자미,안양도매시장,20220301,경상북도 포항시,참가자미,75000.0,12.5,2.0
가자미,안양도매시장,20220301,노르웨이,기타,165000.0,45.0,10.0
가자미,안양도매시장,20220301,인디아,참가자미,180000.0,24.0,3.0
가자미,안양도매시장,20220301,전라남도 보성군,참가자미,75000.0,25.0,5.0
가자미,안양도매시장,20220301,전라남도 완도군,도다리,79800.0,4.2,4.2
가자미,안양도매시장,20220301,전라북도 군산시,참가자미,75000.0,15.0,5.5
가자미,안양도매시장,20220301,제주도 제주시,도다리,104000.0,8.0,8.0
가자미,안양도매시장,20220301,중국,기타,700000.0,245.0,60.0
가자미,울산도매시장,20220301,울산 남구,기름가자미,68971.11111111111,22.666666666666668,1.1333333333333333
가자미,울산도매시장,20220301,울산 남구,용가자미,95650.76923076923,32.69230769230769,1.646153846153846
가지,강릉도매시장,20220301,경남 밀양시,가지(일반),58333.333333333336,142.0,18.0
가지,강릉도매시장,20220301,경남 진주시,가지(일반),555000.0,150.0,30.0
가지,광주각화도매,20220301,광주 광산구,가지(일반),196180.64516129033,55.645161290322584,11.129032258064516
가지,광주각화도매,20220301,광주 북구,가지(일반),299600.0,78.33333333333333,15.666666666666666
가지,광주각화도매,20220301,전남 나주시,가지(일반),37900.0,10.0,2.0
가지,광주서부도매,20220301,경남 의령군,가지(일반),130833.33333333333,36.666666666666664,7.333333333333333
가지,광주서부도매,20220301,광주 광산구,가지(일반),182376.92307692306,54.61538461538461,10.923076923076923
가지,광주서부도매,20220301,광주 남구,가지(일반),25950.0,15.0,3.0
가지,광주서부도매,20220301,서울 송파구,가지(일반),82360.0,28.0,3.5
가지,광주서부도매,20220301,서울 종로구,가지(일반),95750.0,25.0,5.0
가지,광주서부도매,20220301,전남 나주시,가지(일반),235320.0,69.0,13.8
가지,구리도매시장,20220301,경기 구리시,가지(일반),260500.0,77.5,15.5
가지,구리도매시장,20220301,경기도 남양주시,가지(일반),224400.0,60.0,12.0
가지,구리도매시장,20220301,경남 밀양시,가지(일반),322500.0,82.5,16.5
가지,구리도매시장,20220301,경남 의령군,가지(일반),303050.0,85.0,17.0
가지,구리도매시장,20220301,경상남도 밀양시,가지(일반),291000.0,80.0,16.0
가지,구리도매시장,20220301,경상남도 창녕군,가지(일반),375812.5,116.875,23.375
가지,구리도매시장,20220301,경상남도 창원시 마산회원구,가지(일반),348300.0,110.0,22.0
가지,대구북부도매,20220301,경남 창녕군,가지(일반),208000.0,65.0,13.0
가지,대구북부도매,20220301,경북 칠곡군,가지(일반),240200.0,84.0,8.4
가지,대구북부도매,20220301,경상남도 밀양시,가지(일반),166722.22222222222,52.77777777777778,10.555555555555555
가지,대구북부도매,20220301,경상남도 창녕군,가지(일반),202067.60563380283,70.77464788732394,11.295774647887324
가지,대구북부도매,20220301,경상북도 구미시,가지(일반),177666.66666666666,60.0,6.0
가지,대구북부도매,20220301,경상북도 의성군,가지(일반),329975.0,121.0,12.1
가지,대구북부도매,20220301,경상북도 칠곡군,가지(일반),308166.6666666667,121.66666666666667,17.333333333333332
가지,대구북부도매,20220301,대구 북구,가지(일반),153850.0,51.25,10.25
가지,대구북부도매,20220301,대구광역시,가지(일반),139283.7837837838,44.45945945945946,8.891891891891891
가지,대구북부도매,20220301,대구광역시 달성군,가지(일반),173152.1739130435,56.52173913043478,11.304347826086957
가지,대전노은도매,20220301,경상남도 창녕군,가지(일반),217950.0,90.0,18.0
가지,대전노은도매,20220301,전라북도 군산시,가지(일반),418718.1818181818,121.81818181818181,24.363636363636363
가지,대전노은도매,20220301,전북 군산시,가지(일반),327900.0,95.0,19.0
가지,대전오정도매,20220301,경남 창녕군,가지(일반),882500.0,260.0,52.0
가지,대전오정도매,20220301,경상남도 의령군,가지(일반),96675.0,27.5,5.5
가지,대전오정도매,20220301,전라북도 군산시,가지(일반),525600.0,146.66666666666666,29.333333333333332
가지,대전오정도매,20220301,전북 군산시,가지(일반),380470.0,108.0,21.6
가지,대전오정도매,20220301,전북 완주군,가지(일반),874500.0,275.0,55.0
가지,대전오정도매,20220301,충남 공주시,가지(일반),208800.0,82.5,16.5
가지,부산반여도매,20220301,경기도,가지(일반),20350.0,5.0,1.0
가지,부산반여도매,20220301,경남 밀양시,가지(일반),220323.5294117647,80.29411764705883,16.058823529411764
가지,부산반여도매,20220301,경남 창녕군,가지(일반),253280.0,89.0,17.8
가지,부산반여도매,20220301,광주광역시,가지(일반),312000.0,120.0,24.0
가지,부산엄궁도매,20220301,경남 김해시,가지(일반),206966.66666666666,72.66666666666667,10.166666666666666
가지,부산엄궁도매,20220301,경남 창녕군,가지(일반),273333.3333333333,108.0,18.0
가지,부산엄궁도매,20220301,경상남도 김해시,가지(일반),314800.0,110.0,21.5
가지,부산엄궁도매,20220301,경상남도 창녕군,가지(일반),295466.6666666667,96.66666666666667,19.333333333333332
가지,서울가락도매,20220301,경기 안성시,가지(일반),300666.6666666667,112.0,14.0
가지,서울가락도매,20220301,경기 여주군,가지(일반),328600.0,108.16,13.52
가지,서울가락도매,20220301,경기도 양평군,가지(일반),263750.0,108.0,13.5
가지,서울가락도매,20220301,경기도 여주군,가지(일반),374333.3333333333,111.66666666666667,169.0
가지,서울가락도매,20220301,경남 밀양시,가지(일반),660250.0,205.0,41.0
가지,서울가락도매,20220301,경남 진주시,가지(일반),250333.33333333334,78.33333333333333,15.666666666666666
가지,서울가락도매,20220301,경상남도 김해시,가지(일반),387928.5714285714,128.57142857142858,25.714285714285715
가지,서울가락도매,20220301,경상남도 밀양시,가지(일반),469240.3846153846,148.12942307692308,29.625
가지,서울가락도매,20220301,경상남도 의령군,가지(일반),394500.0,127.5,25.5
가지,서울가락도매,20220301,경상남도 진주시,가지(일반),297386.36363636365,97.77272727272727,19.5
가지,서울가락도매,20220301,경상남도 진주시,기타가지,158250.0,62.5,12.5
가지,서울가락도매,20220301,경상남도 창녕군,가지(일반),327266.6666666667,101.33333333333333,20.266666666666666
가지,서울가락도매,20220301,경상남도 창녕군,기타가지,214908.16326530612,66.0204081632653,13.204081632653061
가지,서울가락도매,20220301,경상남도 창원시 의창(성산)구,기타가지,1380000.0,345.0,69.0
가지,서울가락도매,20220301,경상남도 함안군,기타가지,143833.33333333334,50.0,10.0
가지,서울가락도매,20220301,경상북도 상주시,기타가지,90000.0,30.0,6.0
가지,서울가락도매,20220301,경상북도 성주군,기타가지,495500.0,175.0,35.0
가지,서울가락도매,20220301,광주 광산구,가지(일반),262750.0,84.0,10.5
가지,서울가락도매,20220301,전라북도 전주시,기타가지,836000.0,190.0,38.0
가지,서울가락도매,20220301,충청남도 금산군,기타가지,500000.0,100.0,10.0
가지,서울가락도매,20220301,충청남도 부여군,가지(일반),391000.0,115.0,23.0
가지,서울강서도매,20220301,광주 광산구,가지(일반),198227.27272727274,62.72727272727273,12.545454545454545
가지,서울강서도매,20220301,광주광역시 광산구,가지(일반),205560.0,66.0,13.2
가지,수원도매시장,20220301,경남 창녕군,가지(일반),222525.0,71.25,14.25
가지,수원도매시장,20220301,광주 광산구,가지(일반),206400.0,56.666666666666664,11.333333333333334
가지,순천도매시장,20220301,전남 광양시,가지(일반),109200.0,35.0,7.0
가지,순천도매시장,20220301,전남 담양군,가지(일반),140000.0,50.0,10.0
가지,순천도매시장,20220301,전남 여수시,가지(일반),134000.0,31.666666666666668,6.333333333333333
가지,안산도매시장,20220301,서울특별시,가지(일반),155479.5,44.0,5.5
가지,안산도매시장,20220301,서울특별시,기타가지,78750.0,25.0,5.0
가지,안양도매시장,20220301,경기 안성시,가지(일반),92500.0,25.0,5.0
가지,안양도매시장,20220301,서울 송파구,기타가지,150375.0,60.0,7.5
가지,안양도매시장,20220301,서울특별시,가지(일반),172830.0,46.2,8.4
가지,울산도매시장,20220301,경상남도 밀양시,가지(일반),173800.0,74.16666666666667,14.833333333333334
가지,울산도매시장,20220301,울산 남구,가지(일반),228000.0,60.0,12.0
가지,익산도매시장,20220301,전북 익산시,기타가지,45000.0,12.5,2.5
가지,인천구월도매,20220301,경상남도 하동군,가지(일반),171500.0,37.5,7.5
가지,인천구월도매,20220301,광주광역시,가지(일반),81000.0,23.75,4.75
가지,인천구월도매,20220301,서울 강서구,가지(일반),216500.0,57.5,11.5
가지,인천구월도매,20220301,전남 화순군,가지(일반),166857.14285714287,44.285714285714285,8.857142857142858
가지,인천삼산도매,20220301,경남 진주시,가지(일반),234400.0,67.0,13.4
가지,인천삼산도매,20220301,경남 창녕군,가지(일반),206000.0,65.0,13.0
가지,인천삼산도매,20220301,경상남도 하동군,가지(일반),142333.33333333334,33.333333333333336,6.666666666666667
가지,인천삼산도매,20220301,광주 광산구,가지(일반),156000.0,60.0,12.0
가지,인천삼산도매,20220301,광주 남구,가지(일반),180000.0,50.0,10.0
가지,인천삼산도매,20220301,광주광역시,가지(일반),186250.0,50.0,10.0
가지,인천삼산도매,20220301,서울특별시,가지(일반),183000.0,50.0,10.0
가지,인천삼산도매,20220301,전남 화순군,가지(일반),246000.0,70.0,14.0
가지,전주도매시장,20220301,광주광역시,가지(일반),49800.0,15.0,3.0
가지,전주도매시장,20220301,전북 김제시,가지(일반),115700.0,35.0,7.0
가지,전주도매시장,20220301,전북 전주시 덕진구,가지(일반),113560.0,33.0,6.6
가지,정읍도매시장,20220301,광주광역시,가지(일반),33850.0,8.333333333333334,1.6666666666666667
가지,정읍도매시장,20220301,전북 정읍시,가지(일반),19000.0,5.0,1.0
가지,진주도매시장,20220301,경남 진주시,가지(일반),177761.53846153847,63.46153846153846,12.692307692307692
가지,창원내서도매시장,20220301,경남 진주시,가지(일반),30000.0,16.666666666666668,3.3333333333333335
가지,창원내서도매시장,20220301,경상남도 창녕군,가지(일반),70000.0,35.0,7.0
가지,창원내서도매시장,20220301,서울특별시 송파구,가지(일반),22600.0,5.0,1.0
가지,창원팔용도매시장,20220301,경상남도 창녕군,가지(일반),153440.0,47.4,7.9
가지,천안도매시장,20220301,서울특별시,가지(일반),38333.333333333336,18.666666666666668,2.3333333333333335
가지,청주도매시장,20220301,경남 진주시,가지(일반),354300.0,120.0,24.0
가지,청주도매시장,20220301,서울 송파구,가지(일반),88044.58333333333,29.666666666666668,5.083333333333333
가지,춘천도매시장,20220301,경기도 광주시,가지(일반),181800.0,45.0,9.0
가지,춘천도매시장,20220301,서울 송파구,가지(일반),40240.0,10.0,2.0
가지,춘천도매시장,20220301,서울특별시,가지(일반),42220.0,10.0,2.0
가지,충주도매시장,20220301,경남 의령군,가지(일반),89880.0,40.0,4.0
가지,충주도매시장,20220301,경남 창녕군,가지(일반),118400.0,32.5,6.5
가지,포항도매시장,20220301,경북 영천시,가지(일반),262500.0,75.0,15.0
갈치,대전오정도매,20220301,부산 강서구,은갈치,10000.0,4.0,1.0
갈치,대전오정도매,20220301,세네갈,갈치(수입),817100.0,112.0,14.0
갈치,안산도매시장,20220301,부산광역시,은갈치,2040400.0,320.0,40.0
갈치,안산도매시장,20220301,전남 여수시,은갈치,6060600.0,1000.0,100.0
갈치,안산도매시장,20220301,제주도,은갈치,122800.0,3.9200000000000004,1.6
갈치,안양도매시장,20220301,강원도 동해시,은갈치,1140000.0,365.0,38.0
갈치,안양도매시장,20220301,경상북도 포항시,은갈치,120000.0,10.5,3.0
갈치,안양도매시장,20220301,러시아 연방,먹갈치,950000.0,240.0,30.0
갈치,안양도매시장,20220301,부산광역시,은갈치,150000.0,15.0,3.0
갈치,안양도매시장,20220301,세네갈,먹갈치,430000.0,80.0,10.0
갈치,안양도매시장,20220301,인디아,먹갈치,800000.0,100.0,10.0
갈치,안양도매시장,20220301,인디아,은갈치,360000.0,30.0,6.0
갈치,안양도매시장,20220301,전라남도 목포시,은갈치,822000.0,30.0,3.0
갈치,안양도매시장,20220301,전라남도 보성군,먹갈치,40000.0,20.0,2.0
갈치,안양도매시장,20220301,중국,먹갈치,600000.0,155.0,20.0
갈치,안양도매시장,20220301,중국,은갈치,175000.0,30.0,3.5
감귤,강릉도매시장,20220301,제주 서귀포시,조생귤,572333.3333333334,216.66666666666666,43.333333333333336
감귤,강릉도매시장,20220301,제주 서귀포시,천헤향,574000.0,120.0,40.0
감귤,강릉도매시장,20220301,제주도 제주시,조생귤,540000.0,150.0,30.0
감귤,광주각화도매,20220301,전남 무안군,비가림감귤,359937.5,75.0,15.0
감귤,광주각화도매,20220301,제주 서귀포시,기타감귤,458818.1818181818,152.72727272727272,30.545454545454547
감귤,광주각화도매,20220301,제주 서귀포시,레드향,196666.66666666666,40.0,13.333333333333334
감귤,광주각화도매,20220301,제주 서귀포시,비가림감귤,727777.7777777778,186.11111111111111,37.22222222222222
감귤,광주각화도매,20220301,제주 제주시,기타감귤,169909.0909090909,68.63636363636364,13.727272727272727
감귤,광주각화도매,20220301,제주 제주시,레드향,387600.0,160.0,16.0
감귤,광주각화도매,20220301,제주 제주시,비가림감귤,437958.3333333333,122.20833333333333,27.041666666666668
감귤,광주각화도매,20220301,제주 제주시,조생귤,273000.0,120.0,24.0
감귤,광주각화도매,20220301,제주 제주시,천헤향,255500.0,50.0,16.666666666666668
감귤,광주서부도매,20220301,광주 서구,비가림감귤,351500.0,75.0,15.0
감귤,광주서부도매,20220301,전남 무안군,조생귤,441937.5,111.5625,22.3125
감귤,광주서부도매,20220301,제주 남제주군,레드향,2088200.0,472.0,47.2
감귤,광주서부도매,20220301,제주 남제주군,조생귤,436846.1538461539,137.5,27.5
감귤,광주서부도매,20220301,제주 서귀포시,레드향,705684.2105263158,148.42105263157896,24.05263157894737
감귤,광주서부도매,20220301,제주 서귀포시,비가림감귤,526633.3333333334,104.0,34.666666666666664
감귤,광주서부도매,20220301,제주 서귀포시,조생귤,357423.07692307694,73.46153846153847,14.692307692307692
감귤,광주서부도매,20220301,제주 제주시,레드향,552678.5714285715,88.57142857142857,18.857142857142858
감귤,광주서부도매,20220301,제주 제주시,비가림감귤,656826.6666666666,306.6666666666667,59.2
감귤,광주서부도매,20220301,제주 제주시,조생귤,328764.70588235295,78.82352941176471,30.58823529411765
감귤,광주서부도매,20220301,제주 제주시,하우스감귤,648000.0,90.0,180.0
감귤,구리도매시장,20220301,경기 구리시,비가림감귤,782525.4237288135,237.864406779661,42.57627118644068
감귤,구리도매시장,20220301,경기 구리시,천헤향,625031.25,121.96875,27.53125
감귤,구리도매시장,20220301,경기 구리시,황금향,1023764.7058823529,217.76470588235293,27.705882352941178
감귤,구리도매시장,20220301,제주 서귀포시,레드향,179125.0,33.0,11.0
감귤,구리도매시장,20220301,제주 서귀포시,비가림감귤,567681.8181818182,152.72727272727272,30.545454545454547
감귤,구리도매시장,20220301,제주 서귀포시,천헤향,848175.0,167.025,34.15
